signal,prompt,response,n_words,words_correct,correctness,hearing_loss,word,word_count
c221f2084c780e8f212f4697,cos you better hold on,,5,0,0.0,Moderate,cos,1
c221f2084c780e8f212f4697,cos you better hold on,,5,0,0.0,Moderate,you,1
c221f2084c780e8f212f4697,cos you better hold on,,5,0,0.0,Moderate,better,1
c221f2084c780e8f212f4697,cos you better hold on,,5,0,0.0,Moderate,hold,1
c221f2084c780e8f212f4697,cos you better hold on,,5,0,0.0,Moderate,on,1
63de05fbfcab2d7748b83cb3,and then lower it down again,i do not know where it is all the same,6,1,0.1666666667,Mild,and,1
63de05fbfcab2d7748b83cb3,and then lower it down again,i do not know where it is all the same,6,1,0.1666666667,Mild,then,1
63de05fbfcab2d7748b83cb3,and then lower it down again,i do not know where it is all the same,6,1,0.1666666667,Mild,lower,1
63de05fbfcab2d7748b83cb3,and then lower it down again,i do not know where it is all the same,6,1,0.1666666667,Mild,it,1
63de05fbfcab2d7748b83cb3,and then lower it down again,i do not know where it is all the same,6,1,0.1666666667,Mild,down,1
63de05fbfcab2d7748b83cb3,and then lower it down again,i do not know where it is all the same,6,1,0.1666666667,Mild,again,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,the,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,blind,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,sleep,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,and,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,the,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,deaf,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,and,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,dumb,1
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,the blind sleep and the deaf under sleep,9,7,0.7777777778,No Loss,sleep,1
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,,10,0,0.0,Moderate,a,1
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,,10,0,0.0,Moderate,street,1
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,,10,0,0.0,Moderate,a,1
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,,10,0,0.0,Moderate,couple,1
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,,10,0,0.0,Moderate,of,1
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,,10,0,0.0,Moderate,cars,1
