signal,prompt,response,n_words,words_correct,correctness,hearing_loss,word,word_count
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,does,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,this,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,boat,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,have,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,a,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,sound,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,system,1
CEC1_E001_S08518_L0227,does this boat have a sound system nick,some sort of system,8,1,12.5,Moderate,nick,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,government,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,spending,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,must,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,also,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,be,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,approved,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,by,1
CEC1_E001_S08530_L0241,government spending must also be approved by parliament,#,8,0,0.0,Moderate,parliament,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,the,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,term,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,mixed,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,race,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,is,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,also,1
CEC1_E001_S08532_L0242,the term mixed race is also inaccurate,#,7,0,0.0,Moderately severe,inaccurate,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,it,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,will,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,remain,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,off,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,the,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,song,1
CEC1_E001_S08537_L0229,it will remain off the song sheet,#,7,0,0.0,Moderate,sheet,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,it,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,will,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,remain,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,off,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,the,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,song,1
CEC1_E001_S08537_L0242,it will remain off the song sheet,#,7,0,0.0,Moderately severe,sheet,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,i,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,bet,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,you,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,haven't,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,any,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,more,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,than,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,i,1
CEC1_E001_S08540_L0212,i bet you haven't any more than i did,#,9,0,0.0,Moderate,did,1
